Barrio,Zona,Fuente
CAMINO VIEJO DE SAN CRISTOBAL,ZONA 6,Diccionario Oficial
CIUDAD MARBELLA SECTOR I,ZONA 6,Diccionario Oficial
CIUDAD MARBELLA SECTOR II,ZONA 6,Diccionario Oficial
EL ALTO DE LAS BRISAS,ZONA 6,Diccionario Oficial
EL ALTO DE LAS BRISAS II,ZONA 6,Diccionario Oficial
EL DIAMANTE BOSQUE DE SAN CRISTOBAL,ZONA 6,Diccionario Oficial
EL PARQUE ETAPA I,ZONA 6,Diccionario Oficial
EL SOSIEGO,ZONA 6,Diccionario Oficial
NARINO SUR,ZONA 6,Diccionario Oficial
PRIMERO DE MAYO,ZONA 6,Diccionario Oficial
QUINTA RAMOS,ZONA 6,Diccionario Oficial
SAN BERNARDO DEL VIENTO,ZONA 6,Diccionario Oficial
SAN CRISTOBAL SUR VIEJO,ZONA 6,Diccionario Oficial
SANTA ANA,ZONA 6,Diccionario Oficial
SANTA ANA SUR,ZONA 6,Diccionario Oficial
SANTA ANITA,ZONA 6,Diccionario Oficial
TAPAS LA LIBERTAD,ZONA 6,Diccionario Oficial
VELODROMO,ZONA 6,Diccionario Oficial
VILLA ALBANIA,ZONA 6,Diccionario Oficial
VILLA JAVIER,ZONA 6,Diccionario Oficial
CANADA LA GUIRA II SECTOR,ZONA 7,Diccionario Oficial
CANADA SAN LUIS,ZONA 7,Diccionario Oficial
EL OASIS DEL SUR,ZONA 7,Diccionario Oficial
EL PARAISO SUR ORIENTAL I SECTOR,ZONA 7,Diccionario Oficial
EL PARAISO URB ANTIOQUIA,ZONA 7,Diccionario Oficial
LA BELLEZA,ZONA 7,Diccionario Oficial
LA NUEVA GLORIA,ZONA 7,Diccionario Oficial
LA NUEVA GLORIA II SECTOR,ZONA 7,Diccionario Oficial
LA PENINSULA,ZONA 7,Diccionario Oficial
LA SIERRA,ZONA 7,Diccionario Oficial
LOS LIBERTADORES,ZONA 7,Diccionario Oficial
NUEVAS MALVINAS EL TRIUNFO,ZONA 7,Diccionario Oficial
SAN JACINTO,ZONA 7,Diccionario Oficial
SANTA RITA SUR ORIENTAL,ZONA 7,Diccionario Oficial
SANTA RITA SUR ORIENTAL II ETAPA,ZONA 7,Diccionario Oficial
VILLA ANGELICA,ZONA 7,Diccionario Oficial
VILLABEL,ZONA 7,Diccionario Oficial
GUACAMAYAS III SECTOR,ZONA 8,Diccionario Oficial
LA COLMENA,ZONA 8,Diccionario Oficial
LA GLORIA,ZONA 8,Diccionario Oficial
LA GLORIA BAJA,ZONA 8,Diccionario Oficial
LA VICTORIA,ZONA 8,Diccionario Oficial
LA VICTORIA II SECTOR,ZONA 8,Diccionario Oficial
LA VICTORIA III SECTOR,ZONA 8,Diccionario Oficial
LAS GUACAMAYAS,ZONA 8,Diccionario Oficial
MALVINAS,ZONA 8,Diccionario Oficial
SAN JOSE ORIENTAL,ZONA 8,Diccionario Oficial
SAN JOSE SUR ORIENTAL,ZONA 8,Diccionario Oficial
SAN MARTIN DE LOBA,ZONA 8,Diccionario Oficial
El Balcon De La Castana,"ZONA 5, ZONA 7",Actividades
Los Laureles Sur Oriental I Sector,ZONA 6,Actividades
Los Laureles Sur Oriental I Sector,ZONA 8,Actividades
Montebello,ZONA 4,Actividades
Los Laureles Sur Oriental I Sector,ZONA 4,Actividades
El Balcon De La Castana,ZONA 5,Actividades
San Martin De Loba I Y Ii,ZONA 4,Actividades
El Balcon De La Castana,ZONA 6,Actividades
Nueva Gloria,"ZONA 3, ZONA 8",Actividades
Los Laureles Sur Oriental I Sector,ZONA 2,Actividades
Nueva Roma,ZONA 7,Actividades
San Isidro I Y Ii,ZONA 6,Actividades
La Roca,ZONA 6,Actividades
20 De Julio,ZONA 4,Actividades
Los Laureles Sur Oriental I Sector,ZONA 5,Actividades
Camino Viejo San Cristobal,"ZONA 1, ZONA 2",Actividades
20 De Julio,ZONA 1,Actividades
Los Laureles Sur Oriental I Sector,ZONA 3,Actividades
Sosiego,ZONA 6,Actividades
La Belleza,"ZONA 5, ZONA 7",Actividades
Los Laureles Sur Oriental I Sector,"ZONA 3, ZONA 8",Actividades
San Jose,ZONA 5,Actividades
Gran Colombia,ZONA 2,Actividades
Los Laureles Sur Oriental I Sector,ZONA 7,Actividades
San Isidro I Y Ii,ZONA 5,Actividades
La Peninsula,ZONA 5,Actividades
La Victoria,ZONA 4,Actividades
Balcon De La Castana,"ZONA 1, ZONA 2",Actividades
Camino Viejo San Cristobal,ZONA 6,Actividades
Balcon De La Castana,ZONA 1,Actividades
San Isidro I Y Ii,ZONA 8,Actividades
Ciudadela Santa Rosa,ZONA 3,Actividades
El Paraiso Sur Oriental I Sector,ZONA 6,Actividades
El Ramajal San Pedro,ZONA 6,Actividades
Cerros De San Vicente,ZONA 3,Actividades
Primero De Mayo,"ZONA 1, ZONA 2",Actividades
Nueva Roma,"ZONA 5, ZONA 7",Actividades
El Balcon De La Castana,ZONA 7,Actividades
