id_ubicacion,Direccion_Actividad
190,Calle 11 # 22 55 este
191,Carrera 11 este # 36 G 80
192,Iglesia del 20 de julio calle 27 sur # 7-50
193,calle 13 a sur # 24 b 25 este casa de la lluvia
194,Cll 52 a sur cra 10 este 
195,Cll 46 sur cra 8 este
196, Calle 70 Sur 13B 27 Este
197,Carrera 8 # 1c -50 Sur
198,Calle 37A Bis sur #2-04
199,Bomberos en Ara
200,CARRERA 13 ESTE #15-61 SUR
201,Cra 3 b este cll 46 sur
202,Carrera 8A #8-89 sur
203,Cai Guacamayas
204,Avenida 1 de Mayo No. 1 - 40 Sur
205,Carrera 5A con calle 30A sur
206,Av. 1 de Mayo No 1-40 Sur
207, Calle 31 Sur # 3 C 67 Este
208,Calle 70n sur #13B-27 este
209,CLL 38 sur 
210,Calle. 31c Sur #3A-67
211,PORTAL 20 DE JULIO
212,CARRERA 22 ESTE 11-40
213,CALLE 37A BIS SUR #24-04
214,TRANSVERSAL 14 ESTE CALLE 58
215,PORTAL 20 DEJULIO 
216,ARA SANTA ROSA
217,CARRERA 5A#8-49
218,CARRERA 17 A ESTE CON CLL 42C SUR
219,Colegio los alpes
220,"4.573973039902456, -74.08966445510642"
221,Colegio Jose Maria Carbonel
222,Diagonal 60 sur #15-69
223,PARQUE LA GLORIA
224,"4.559438864520817, -74.092448688348"
225,"4.549606693061418, -74.09252021830484"
226,HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL
227,CALLE 27 A#10H-26
228,COLEGIO FLORENTINO GONZALEZ
229,COLEGIO RAFAEL NUÑEZ
230,ARA DE SANTA ROSA
231,TRASVERSAL 5 ESTE #19-50
232,CRA 1 A#6C-50 SUR
233,"4.5782312227978785, -74.07967257590859"
234,Carrera 8a sur 8a 89
235,"4.584074885747887, -74.0873826321641"
236,Calle 52a sur # 5c-91 este
237,Calle 32 a sur # 8 a 40 este 
238,"4.52812076794281, -74.08880827523126"
239,Carrera 10 # 13 b 05
240,OLIMPICACARRERA 10 CON CLL 11 SUR
241,Carrera 14 este # 59a-06
242,"4.5816341205541855, -74.09005277889172"
243,Iglesia IED San Isidro 
244,Carrera 111c # 80 a 20 
245,ALCALDIA LOCAL SAN CRISTOBAL 
246,CARRERA 11 ESTE CON CALLE 56 SUR
247,AVENIDA CIRCUNVALAR CLL 58 SUR
248,Cr 11este CLL 66 sur la belleza 
