linea_id;ID_Actividad;Linea_Estrategica;Tipo_Linea
157;E18FA5670FA57D56;Distritos Seguros, Control Urbano, Cooperación Ciudadana, Lucha Contra El Crimen;Seguridad
158;55BE72BDE638B901;Distritos Seguros, Cooperación Ciudadana;Seguridad
159;456F82F31633A8E9;Distritos Seguros, Control Urbano, Lucha Contra El Crimen;Seguridad
160;3FAA41B392E1DD2F;Control Urbano, Lucha Contra El Crimen, Ciudadanías Seguras;Seguridad
161;3F2407580E93C13A;Distritos Seguros, Cooperación Ciudadana, Ciudadanías Seguras;Seguridad
162;96B5E577A3E529A2;Distritos Seguros, Ciudadanías Seguras;Seguridad
163;ABCE6A6D08DDCA09;Distritos Seguros, Seguridad Inteligente, Datos Para La Seguridad, Ciudadanías Seguras;Seguridad
164;B1E919004B2E4121;Bienestar Y Reconocimiento;Seguridad
165;8C5A11FBBC49A4AF;N/A;Seguridad
166;DE00ED124320C3ED;N/A;Seguridad
167;C1FFB5D21B9853D3;N/A;Seguridad
168;07EC5CFF44943E1A;Transporte Seguro;Seguridad
169;3C007A6DA753A815;Distritos Seguros;Seguridad
170;1E01CBC406CA46A7;Distritos Seguros, Lucha Contra El Crimen;Seguridad
171;B6A11734F95DBBC8;Distritos Seguros;Seguridad
172;4E9D0A665C6CFD11;Seguridad Inteligente, Datos Para La Seguridad;Seguridad
173;0B5E5442520EB940;Distritos Seguros, Transporte Seguro;Seguridad
174;A2AE7380E1C3540F;Distritos Seguros;Seguridad
175;B12F52B79347793A;N/A;Seguridad
176;4C608F05779E6EF9;Distritos Seguros, Seguridad Inteligente, Datos Para La Seguridad, Cooperación Ciudadana, Ciudadanías Seguras;Seguridad
177;E874FACB3B87481C;Distritos Seguros, Seguridad Inteligente, Datos Para La Seguridad, Cooperación Ciudadana, Ciudadanías Seguras;Seguridad
178;021710A9C888EE96;N/A;Seguridad
179;E8AEE8DCB925BDA0;Distritos Seguros;Seguridad
180;72AA27D76FD6058F;Distritos Seguros, Control Urbano, Ciudadanías Seguras;Seguridad
181;83F1ECCBAD1A3E12;Distritos Seguros, Control Urbano;Seguridad
182;02229E8A836C900A;N/A;Seguridad
183;D76AD941CF673045;Distritos Seguros, Control Urbano;Seguridad
184;4F2B0BA2FC8200DC;Distritos Seguros, Control Urbano;Seguridad
185;656F9EE1F72F66B9;N/A;Seguridad
186;983736436D523699;N/A;Seguridad
187;8D66EDC245B23028;Control Urbano;Seguridad
188;146005A0F36D5DA0;Distritos Seguros, Control Urbano;Seguridad
189;9EA9881E447C022C;N/A;Seguridad
190;B6E073F1B7704E13;N/A;Seguridad
191;D414964310DC552C;N/A;Seguridad
192;F3FD01F5B48E247F;N/A;Seguridad
193;4F4137D64B20CAA7;N/A;Seguridad
194;790B7136615C6399;N/A;Seguridad
195;2033442EC506D339;N/A;Seguridad
196;A94794B6857B2EA0;N/A;Seguridad
197;1E0CBC03E3CC8E1A;N/A;Seguridad
198;3D1311C08C203148;N/A;Seguridad
199;04A09D0EEBDB95E7;N/A;Seguridad
200;DF98BBC68F7A861D;N/A;Seguridad
201;C4CD2649A844A864;N/A;Seguridad
202;F078E8ECE9FBC8FB;N/A;Seguridad
203;45E348729202C4FA;N/A;Seguridad
204;901BBDE964000573;N/A;Seguridad
205;950B54511C94841E;N/A;Seguridad
206;A7F5890558D3CA1F;N/A;Seguridad
207;DC01B90AFFA782C2;Distritos Seguros;Seguridad
208;7E3C266C8622978A;N/A;Seguridad
209;9E443F2F1893842D;N/A;Seguridad
210;9D43D87BD349ADE0;N/A;Seguridad
211;0BD4AC6DBE4C7B9C;N/A;Seguridad
212;5D6E9FA105DD10DA;Distritos Seguros, Control Urbano;Seguridad
213;C30472EB93A220B5;Distritos Seguros, Control Urbano, Seguridad Inteligente;Seguridad
214;F58A30BBFEC8FA85;Distritos Seguros, Seguridad Inteligente;Seguridad
215;7DBC6C89D1571E86;Distritos Seguros, Control Urbano, Seguridad Inteligente, Datos Para La Seguridad, Ciudadanías Seguras;Seguridad
216;7E84BBEDC774080D;Transporte Seguro;Seguridad
217;C6E9BB0059109483;Control Urbano, Seguridad Inteligente;Seguridad
218;B7FE01BF292C9F14;Transporte Seguro;Seguridad
219;4E500088027F3D1D;Distritos Seguros, Control Urbano;Seguridad
220;2EFFC3ED71F2AA97;Distritos Seguros, Control Urbano, Datos Para La Seguridad;Seguridad
221;0B0DD5C0869B9F79;Control Urbano, Seguridad Inteligente, Datos Para La Seguridad, Ciudadanías Seguras;Seguridad
222;E37DE2D35F406CD5;Transporte Seguro;Seguridad
223;D3CF2CA82B954F87;Transporte Seguro;Seguridad
224;A3C682A3AED10D0F;N/A;Seguridad
225;048117C57201AE54;N/A;Seguridad
226;D4266DDA2056E9EE;Transporte Seguro;Seguridad
227;96E55DB662875963;Distritos Seguros, Control Urbano, Lucha Contra El Crimen;Seguridad
228;DCC136EAAF29F224;Distritos Seguros, Control Urbano, Ciudadanías Seguras;Seguridad
229;432680DEC059EE17;Ciudadanías Seguras, Urbanismo Para La Seguridad;Seguridad
230;0F8D313A756C636C;Transporte Seguro;Seguridad
231;C44FCD93430BEA40;Distritos Seguros, Control Urbano, Seguridad Inteligente;Seguridad
232;EA24D765D9C19C5D;Distritos Seguros, Control Urbano, Seguridad Inteligente;Seguridad
233;44146971BAE5D68E;N/A;Seguridad
234;1A27CD59AAF463FA;N/A;Seguridad
235;599EF0F8D77D3E6F;N/A;Seguridad
236;266200A59F10949A;N/A;Seguridad
237;C47AF43E8A07587F;Distritos Seguros, Ciudadanías Seguras;Seguridad
238;B01543C942300E85;Distritos Seguros, Control Urbano;Seguridad
239;BCD6DB1A74BF5D29;N/A;Seguridad
240;B8A8315ABF6CA5BC;N/A;Seguridad
241;7D8CDB0064E183A3;N/A;Seguridad
242;3D18634B572BC978;Distritos Seguros, Seguridad Regional, Ciudadanías Seguras;Seguridad
243;619FDFAD4E3BBFBF;N/A;Seguridad
244;61E2FABE4C35EA93;Distritos Seguros, Control Urbano;Seguridad
245;5876F5EF11A51896;Distritos Seguros, Control Urbano, Ciudadanías Seguras;Seguridad
246;801D9BFDFFFBFCE9;Distritos Seguros;Seguridad
247;498DC7F3D2AA6E34;Distritos Seguros, Seguridad Inteligente, Datos Para La Seguridad, Ciudadanías Seguras, Bienestar Y Reconocimiento;Seguridad
248;F632F053064377AC;Distritos Seguros, Control Urbano, Seguridad Inteligente, Datos Para La Seguridad, Cooperación Ciudadana, Transporte Seguro, Ciudadanías Seguras;Seguridad
249;E120878555DE163D;Distritos Seguros, Control Urbano, Seguridad Inteligente, Datos Para La Seguridad, Cooperación Ciudadana, Transporte Seguro, Gestión De La Seguridad En Aglomeraciones, Ciudadanías Seguras;Seguridad
